date,SP500,USDRMB,SHINDEX,SZINDEX,USDINDEX,EURUSD,tmp_df
2000-01-04 00:00:00,1399.42,8.2798,1406.371,3497.06,114.3583,1.0295,
2000-01-05 00:00:00,1402.11,8.2799,1409.682,3486.285,114.6221,1.0316,
2000-01-06 00:00:00,1403.45,8.2798,1463.942,3655.199,115.1688,1.0295,-0.2182236210489436
2000-01-07 00:00:00,1441.47,8.2797,1516.604,3828.04,114.9098,1.028,1.1067153354321684
2000-01-10 00:00:00,1457.6,8.2794,1545.112,3921.484,114.9799,1.0253,0.23559190099437202
2000-01-11 00:00:00,1438.56,8.2794,1479.781,3716.784,115.0791,1.0324,-0.6745569553835401
2000-01-12 00:00:00,1432.25,8.2795,1438.02,3605.825,115.1348,1.0312,1.01483002384864
2000-01-13 00:00:00,1449.68,8.2796,1424.442,3580.982,115.0326,1.0253,0.2886685686982642
2000-01-14 00:00:00,1465.15,8.2798,1408.848,3542.82,115.2448,1.0151,0.4756988167406119
2000-01-18 00:00:00,1455.14,8.2793,1426.623,3571.974,115.1943,1.012,0.2334353693206429
2000-01-19 00:00:00,1455.9,8.2793,1440.724,3603.857,115.2346,1.012,-1.0797296065640107
2000-01-20 00:00:00,1445.57,8.2797,1466.863,3668.842,115.015,1.0164,-0.056509132555190265
2000-01-21 00:00:00,1441.36,8.2794,1465.085,3702.088,115.0325,1.0097,-0.20498092245425326
2000-01-24 00:00:00,1401.53,8.2795,1477.344,3734.725,115.2833,1.0039,-1.1099994357071206
2000-01-25 00:00:00,1410.03,8.2789,1476.506,3726.058,115.378,1.0013,-1.670712252673774
2000-01-26 00:00:00,1404.09,8.2786,1481.117,3737.986,115.5055,1.0012,0.15838724714474878
2000-01-27 00:00:00,1398.56,8.2782,1506.767,3844.965,115.5995,0.9881,-0.4037417336785378
2000-01-28 00:00:00,1360.16,8.2783,1534.997,3952.407,116.6279,0.9771,1.1933339889917358
2000-02-14 00:00:00,1389.94,8.2781,1673.943,4322.373,116.665,0.9814,1.186829910171466
2000-02-15 00:00:00,1402.05,8.2779,1670.67,4394.694,116.6064,0.9813,0.7683890190679356
2000-02-16 00:00:00,1387.67,8.2777,1693.109,4457.414,116.5421,0.9862,1.471066961166409
2000-02-17 00:00:00,1388.26,8.2777,1640.649,4313.971,116.6743,0.9884,0.6004726263092444
2000-02-18 00:00:00,1346.09,8.2772,1668.091,4356.603,116.7702,0.9847,0.8923793207464302
2000-02-22 00:00:00,1352.17,8.2775,1632.294,4186.695,116.5123,1.0046,-1.5711918700388208
2000-02-23 00:00:00,1360.69,8.2773,1594.93,4072.469,116.7462,1.0025,-0.48131604165115305
2000-02-24 00:00:00,1353.43,8.278,1634.309,4221.842,116.8944,0.994,1.6141629278962648
2000-02-25 00:00:00,1333.36,8.278,1631.576,4262.819,117.0894,0.9741,-0.1449643641445221
2000-02-28 00:00:00,1348.05,8.2786,1704.855,4481.739,117.1556,0.9716,0.8834988862036716
2000-02-29 00:00:00,1366.42,8.2786,1714.578,4484.164,117.2613,0.9662,-1.26502108437346
2000-03-01 00:00:00,1379.19,8.2786,1697.744,4427.201,116.6436,0.9748,-0.14173882067295052
2000-03-02 00:00:00,1381.76,8.2786,1713.014,4443.524,116.9605,0.9663,1.0843074880889525
2000-03-03 00:00:00,1409.17,8.2787,1738.021,4488.269,116.9103,0.959,1.1263769564117643
2000-03-06 00:00:00,1391.28,8.2789,1681.085,4316.112,117.0373,0.9588,0.5955805146056511
2000-03-07 00:00:00,1355.62,8.2785,1694.798,4399.951,116.8164,0.9568,0.8978034053663396
2000-03-08 00:00:00,1366.7,8.2784,1726.033,4498.219,116.9031,0.9612,0.6499555924775905
2000-03-09 00:00:00,1401.69,8.2786,1732.346,4548.685,116.5413,0.9677,-0.092523467343894
2000-03-10 00:00:00,1395.07,8.2787,1705.049,4463.656,116.5969,0.9631,-1.0370453338909837
2000-03-13 00:00:00,1383.62,8.2785,1728.875,4495.922,116.5787,0.9645,0.5164720365663942
2000-03-14 00:00:00,1359.15,8.2781,1685.347,4371.559,116.5403,0.9667,-0.24120285880860423
2000-03-15 00:00:00,1392.15,8.278,1681.471,4333.892,116.6601,0.9679,-0.16974859103723539
2000-03-16 00:00:00,1458.47,8.2778,1607.527,4131.543,116.6555,0.9711,0.6795155216747697
2000-03-17 00:00:00,1464.47,8.2777,1658.601,4315.0,116.7672,0.9724,-0.21896912513286154
2000-03-20 00:00:00,1456.63,8.2785,1699.248,4367.73,116.7844,0.9731,-1.0762444729159863
2000-03-21 00:00:00,1493.87,8.2786,1710.324,4387.27,116.745,0.9642,-0.615668133523779
2000-03-22 00:00:00,1500.64,8.2783,1720.446,4439.087,116.9603,0.96,-0.22354552006727846
2000-03-23 00:00:00,1527.35,8.2783,1747.241,4492.432,116.7543,0.9716,-0.902828918268339
2000-03-24 00:00:00,1527.46,8.2787,1730.499,4461.659,116.4189,0.9749,0.07228315292327485
2000-03-27 00:00:00,1523.86,8.2789,1775.914,4571.664,116.556,0.9653,-0.5158330841334211
2000-03-28 00:00:00,1507.73,8.2792,1791.441,4591.12,116.3642,0.9614,-1.6067496763251796
2000-03-29 00:00:00,1508.52,8.2795,1788.807,4559.863,116.6139,0.9502,-1.590979351020247
2000-03-30 00:00:00,1487.92,8.2789,1810.984,4580.821,116.5491,0.9615,-0.3765958804598874
2000-03-31 00:00:00,1498.58,8.2788,1800.225,4532.313,116.1028,0.9555,-0.2788947562943876
2000-04-03 00:00:00,1505.97,8.2787,1801.003,4508.084,116.5065,0.9575,-2.1849643431128816
2000-04-04 00:00:00,1494.73,8.2786,1760.692,4413.747,116.5324,0.9635,-0.8692162091300906
2000-04-05 00:00:00,1487.37,8.2791,1771.199,4442.218,116.5335,0.9626,0.6845363304980966
2000-04-06 00:00:00,1501.34,8.2795,1809.141,4527.666,116.5927,0.9596,-0.6876141077165141
2000-04-07 00:00:00,1516.35,8.2795,1819.896,4556.892,116.6203,0.9543,-0.9621192658314454
2000-04-10 00:00:00,1504.46,8.2795,1826.061,4546.442,116.77,0.9611,-0.1157779311884687
2000-04-11 00:00:00,1500.59,8.2798,1821.174,4595.07,116.9801,0.9586,-1.7199882103454347
2000-04-12 00:00:00,1467.17,8.2791,1807.328,4538.653,116.9333,0.9559,0.06196739867140676
2000-04-13 00:00:00,1440.51,8.2796,1831.548,4601.474,117.0311,0.954,1.3550253644525647
